author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 13394646,realtor,https://www.cian.ru/sale/flat/315881460/,Москва,sale,flat,4,22,1,44.5,-1,0,17900000,Очаково-Матвеевское,Веерная ,22К2,Матвеевская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,8800000,Люблино, Верхние Поля,27С2,Братиславская,
ID 24059505,homeowner,https://www.cian.ru/sale/flat/315345114/,Москва,sale,flat,6,9,1,32.0,-1,0,16700000,Проспект Вернадского, Удальцова,3К11,Проспект Вернадского,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253214/,Москва,sale,flat,24,79,1,72.0,-1,0,70000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/310107816/,Москва,sale,flat,6,12,1,40.0,-1,0,8490000,, Харлампиева,52к1,Филатов Луг,Спортивный квартал
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316776911/,Москва,sale,flat,23,38,1,65.0,-1,0,29000000,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/316874365/,Москва,sale,flat,3,5,1,31.0,-1,0,9500000,Свиблово,проезд Нансена,12К1,Свиблово,
ID 54076853,unknown,https://www.cian.ru/sale/flat/316799695/,Москва,sale,flat,9,9,1,34.7,-1,0,10000000,Отрадное, Мусоргского,11,Отрадное,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315263849/,Москва,sale,flat,11,12,1,61.3,-1,0,42900000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Ирина Берёзкина,realtor,https://www.cian.ru/sale/flat/315289988/,Москва,sale,flat,5,5,1,30.1,-1,0,9999999,Перово, Плющева,16,Перово,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/316856598/,Москва,sale,flat,6,16,1,38.0,-1,0,10499000,Орехово-Борисово Северное, Маршала Захарова,13,Орехово,
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/316064725/,Москва,sale,flat,1,5,1,31.4,-1,0,9200000,Измайлово,Измайловский проезд,6К2,Измайловская,
Елизавета Трушина,realtor,https://www.cian.ru/sale/flat/316595702/,Москва,sale,flat,8,12,1,35.0,-1,0,8500000,Гольяново,Черницынский проезд,12,Щёлковская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316672928/,Москва,sale,flat,13,21,1,70.0,-1,0,35700000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
Юрий Артамонов,realtor,https://www.cian.ru/sale/flat/316989525/,Москва,sale,flat,5,12,1,35.1,-1,0,15950000,Даниловский, Сайкина,2,Автозаводская,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/314018129/,Москва,sale,flat,11,25,1,22.54,-1,0,6500000,Тропарево-Никулино,Востряковское шоссе,7с6,Озёрная,
MONEYARD,real_estate_agent,https://www.cian.ru/sale/flat/300863910/,Москва,sale,flat,6,40,1,40.49,-1,0,21500000,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253213/,Москва,sale,flat,30,79,1,78.0,-1,0,92880000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Совкомбанк,official_representative,https://www.cian.ru/sale/flat/303370489/,Москва,sale,flat,3,3,1,44.9,-1,0,5800000,, Южная,12,Крёкшино,
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/309952150/,Москва,sale,flat,22,24,1,40.0,-1,0,11600000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,Царицыно-2
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/316110068/,Москва,sale,flat,13,41,1,43.1,-1,0,21700000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Рыков Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/315459705/,Москва,sale,flat,11,18,1,39.1,-1,0,10500000,Западное Дегунино, Ивана Сусанина,8К1,Моссельмаш,
MOD Estate,real_estate_agent,https://www.cian.ru/sale/flat/315394969/,Москва,sale,flat,11,17,1,38.1,-1,0,11900000,Западное Дегунино,Ангарская ,22К5,Грачёвская,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/315778606/,Москва,sale,flat,11,28,1,32.0,-1,0,18700000,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point
ID 20245914,homeowner,https://www.cian.ru/sale/flat/315518371/,Москва,sale,flat,1,9,1,32.8,-1,0,8560000,Отрадное, Декабристов,35А,Отрадное,
RND,real_estate_agent,https://www.cian.ru/sale/flat/316780495/,Москва,sale,flat,8,11,1,42.7,-1,0,27700000,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/311419733/,Москва,sale,flat,5,12,1,34.1,-1,0,19000000,Обручевский, Академика Челомея,1А,Воронцовская,AFI Park 
ID 78735990,unknown,https://www.cian.ru/sale/flat/316894215/,Москва,sale,flat,5,12,1,35.3,-1,0,8990000,Южное Бутово,Южнобутовская ,62,Улица Горчакова,
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/312754921/,Москва,sale,flat,4,8,1,34.0,-1,0,25700000,Гагаринский,Ленинский проспект,38Ак1,Ленинский проспект,Lunar
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/316422662/,Москва,sale,flat,8,14,1,31.5,-1,0,10700000,Марьина роща,Старомарьинское шоссе,22,Марьина Роща,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/313373364/,Москва,sale,flat,1,22,1,19.5,-1,0,4150000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ID 87162081,unknown,https://www.cian.ru/sale/flat/316738482/,Москва,sale,flat,2,3,1,34.7,-1,0,5400000,, Генерала Донскова,27к6,Апрелевка,Борисоглебское
Time Property,real_estate_agent,https://www.cian.ru/sale/flat/304779000/,Москва,sale,flat,9,31,1,45.3,-1,0,23900000,Филевский парк,Береговой проезд,5к1,Фили,Фили Град
Парадайс,real_estate_agent,https://www.cian.ru/sale/flat/316307080/,Москва,sale,flat,17,17,1,46.7,-1,0,10750000,Крюково,проспект Георгиевский,33Ак1,Зеленоград — Крюково,Жемчужина Зеленограда
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/315158477/,Москва,sale,flat,18,24,1,38.8,-1,0,22600000,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,Сердце Столицы
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/314369704/,Москва,sale,flat,10,15,1,43.3,-1,0,27200000,Раменки,Винницкая ,8к4,Раменки,Настоящее
Александр Кудинов,realtor,https://www.cian.ru/sale/flat/316695062/,Москва,sale,flat,2,14,1,39.0,-1,0,9450000,Братеево, Борисовские Пруды,16К2,Борисово,
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/311314543/,Москва,sale,flat,3,29,1,57.0,-1,0,35000000,Хорошево-Мневники,Шелепихинская набережная,40к3,Шелепиха,Sydney City
Ирина Гурьянова,realtor,https://www.cian.ru/sale/flat/316843529/,Москва,sale,flat,9,9,1,36.0,-1,0,9900000,Южное Тушино, Фабрициуса,24С1,Сходненская,
ID 15707280,unknown,https://www.cian.ru/sale/flat/316788102/,Москва,sale,flat,1,12,1,34.0,-1,0,9000000,Черемушки,Севастопольский проспект,52,Зюзино,
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/310068451/,Москва,sale,flat,9,12,1,36.8,-1,0,20000000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Ирина Василевская,realtor,https://www.cian.ru/sale/flat/307275502/,Москва,sale,flat,2,12,1,41.0,-1,0,11500000,Соколиная гора,Вольная ,4,Семёновская,
Юлия Дусина,realtor,https://www.cian.ru/sale/flat/312365979/,Москва,sale,flat,1,14,1,39.1,-1,0,8500000,Ново-Переделкино,Боровское шоссе,37К3,Новопеределкино,
ID 117253188,realtor,https://www.cian.ru/sale/flat/316503134/,Москва,sale,flat,3,9,1,32.5,-1,0,13100000,Восточное Дегунино, 800-летия Москвы,5К1,Яхромская,
ID 87162081,unknown,https://www.cian.ru/sale/flat/316740050/,Москва,sale,flat,2,3,1,32.0,-1,0,5380000,, Генерала Донскова,27к6,Апрелевка,Борисоглебское
Простор-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316734632/,Москва,sale,flat,9,12,1,34.9,-1,0,13000000,Басманный,Плетешковский переулок,18-20к2,Бауманская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253236/,Москва,sale,flat,4,4,1,42.1,-1,0,18500000,Басманный, Казакова,7,Курская,KAZAKOV Grand Loft
REPLACE,real_estate_agent,https://www.cian.ru/sale/flat/316499109/,Москва,sale,flat,11,21,1,41.5,-1,0,39000000,Пресненский,Мантулинская ,9к2,Москва-Сити,City Park
Метр-Инфо,real_estate_agent,https://www.cian.ru/sale/flat/316679262/,Москва,sale,flat,16,24,1,39.0,-1,0,13200000,Нагатино-Садовники,Нагатинская набережная,12,Коломенская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308550093/,Москва,sale,flat,9,23,1,31.9,-1,0,17490000,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,Sydney City
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/314699560/,Москва,sale,flat,23,23,1,35.9,-1,0,18600000,Лефортово,Красноказарменная ,14Ак2,Авиамоторная,Пётр I
ID 72575189,homeowner,https://www.cian.ru/sale/flat/301409960/,Москва,sale,flat,9,12,1,39.5,-1,0,10250000,Лианозово,Новгородская ,34,Алтуфьево,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/307538846/,Москва,sale,flat,1,12,1,30.7,-1,0,8600000,Люблино,Белореченская ,15,Люблино,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/316365858/,Москва,sale,flat,12,25,1,41.0,-1,0,13000000,, Саларьевская,13к1,Саларьево,Саларьево парк
ID 130210562,realtor,https://www.cian.ru/sale/flat/316566902/,Москва,sale,flat,2,12,1,35.0,-1,0,11990000,Алексеевский,Ракетный бульвар,11К1,ВДНХ,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/311846636/,Москва,sale,flat,1,29,1,24.0,-1,0,12800000,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,Аминьевская,Вестердам
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/314947646/,Москва,sale,flat,14,48,1,42.0,-1,0,25500000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
Ирина Королева,realtor,https://www.cian.ru/sale/flat/316885073/,Москва,sale,flat,15,24,1,37.0,-1,0,15200000,Таганский,Нижегородская ,25,Калитники,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316289540/,Москва,sale,flat,2,33,1,50.0,-1,0,22000000,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,Level Причальный
V I B E,real_estate_agent,https://www.cian.ru/sale/flat/314702076/,Москва,sale,flat,2,18,1,41.0,-1,0,22600000,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь
ID 57724669,homeowner,https://www.cian.ru/sale/flat/315916888/,Москва,sale,flat,4,10,1,32.9,-1,0,9000000,Гольяново,Уральская ,6К1,Щёлковская,
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/316273407/,Москва,sale,flat,3,10,1,36.4,-1,0,13250000,,бульвар Андрея Тарковского,6,Рассказовка,Рассказово
Агентство недвижимости Елены Кузнецовой,real_estate_agent,https://www.cian.ru/sale/flat/306033012/,Москва,sale,flat,5,18,1,45.0,-1,0,22550000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
ID 33295171,homeowner,https://www.cian.ru/sale/flat/316216130/,Москва,sale,flat,7,17,1,42.0,-1,0,8700000,Южное Бутово, Маршала Савицкого,24,Щербинка,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/311671252/,Москва,sale,flat,3,49,1,42.6,-1,0,25000000,Хорошево-Мневники, Генерала Глаголева,14Ак1,Бульвар Генерала Карбышева,CRYSTAL Трилогия
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/313038613/,Москва,sale,flat,3,15,1,38.0,-1,0,30400000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
ID 88760830,unknown,https://www.cian.ru/sale/flat/316825029/,Москва,sale,flat,4,9,1,33.0,-1,0,7050000,Матушкино,Зеленоград,к148,Зеленоград — Крюково,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/314200771/,Москва,sale,flat,1,12,1,38.3,-1,0,10400000,Измайлово,Никитинская ,9,Измайловская,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/314469865/,Москва,sale,flat,19,41,1,43.0,-1,0,32500000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Октава-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316927348/,Москва,sale,flat,9,12,1,30.0,-1,0,6470000,, Харлампиева,50к3,Филатов Луг,Спортивный квартал
Наталья Транькова,realtor,https://www.cian.ru/sale/flat/316035990/,Москва,sale,flat,9,9,1,33.0,-1,0,11200000,Нагатинский затон,Кленовый бульвар,6,Коломенская,
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303776402/,Москва,sale,flat,16,17,1,27.0,-1,0,12300000,Левобережный,Смольная ,44к1,Беломорская,
ID 115660205,homeowner,https://www.cian.ru/sale/flat/311059902/,Москва,sale,flat,9,12,1,36.0,-1,0,9500000,Южное Бутово,Изюмская ,46К2,Улица Скобелевская,
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/315500861/,Москва,sale,flat,1,9,1,37.2,-1,0,19999999,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,Вестердам
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/313282454/,Москва,sale,flat,54,63,1,81.0,-1,0,59000000,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
ID 92287512,homeowner,https://www.cian.ru/sale/flat/316296379/,Москва,sale,flat,9,24,1,39.5,-1,0,12800000,Кузьминки,Волгоградский проспект,86К1,Кузьминки,Новые Кузьминки
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/315858719/,Москва,sale,flat,24,41,1,42.84,-1,0,21500000,Пресненский,Шмитовский проезд,39,Москва-Сити,Headliner
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/311038284/,Москва,sale,flat,7,22,1,41.0,-1,0,29900000,Покровское-Стрешнево,бульвар Чкаловский,6к1,Спартак,Клубный город на реке Primavera
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/316244683/,Москва,sale,flat,8,12,1,29.7,-1,0,10900000,Северное Тушино, Фомичевой,8К2,Планерная,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308207546/,Москва,sale,flat,14,41,1,48.0,-1,0,29900000,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
ID 13022434,homeowner,https://www.cian.ru/sale/flat/316643869/,Москва,sale,flat,2,30,1,37.3,-1,0,21200000,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская,Метрополия
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/316283525/,Москва,sale,flat,7,9,1,32.1,-1,0,9600000,Левобережный,Смольная ,39,Беломорская,
Омега-Эстейт,real_estate_agent,https://www.cian.ru/sale/flat/316816429/,Москва,sale,flat,13,18,1,34.4,-1,0,10000000,, Александры Монаховой,88к2,Потапово,Бунинские луга
MaxCapital,real_estate_agent,https://www.cian.ru/sale/flat/315814638/,Москва,sale,flat,12,12,1,38.79,-1,0,11700000,Чертаново Южное,3-й Дорожный проезд,4К1,Улица Академика Янгеля,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/316908637/,Москва,sale,flat,5,9,1,31.4,-1,0,15000000,Пресненский, 1905 года,9С1,Улица 1905 года,
Ольга Медведева,realtor,https://www.cian.ru/sale/flat/316592686/,Москва,sale,flat,16,24,1,30.3,-1,0,16000000,Метрогородок,Тагильская ,2к1,Бульвар Рокоссовского,Сиреневый парк
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/316311843/,Москва,sale,flat,21,36,1,495.0,-1,0,24700000,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,Сердце Столицы
Доступная Недвижимость Офис Сретенский,real_estate_agent,https://www.cian.ru/sale/flat/316738721/,Москва,sale,flat,5,9,1,33.7,-1,0,17500000,Гагаринский, Косыгина,13,Воробьёвы горы,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/313024452/,Москва,sale,flat,6,40,1,43.0,-1,0,20900000,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/314537751/,Москва,sale,flat,22,42,1,47.7,-1,0,31000000,Котловка,Севастопольский проспект,22А,Крымская,Eniteo
ID 13375197,realtor,https://www.cian.ru/sale/flat/316282746/,Москва,sale,flat,10,17,1,41.0,-1,0,12950000,Свиблово,проезд Берингов,3,Свиблово,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/313914962/,Москва,sale,flat,7,8,1,41.8,-1,0,42500000,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
МГСН-Проспект Мира,real_estate_agent,https://www.cian.ru/sale/flat/316631681/,Москва,sale,flat,9,9,1,33.0,-1,0,15490000,Хорошевский, Куусинена,4Ак4,Полежаевская,
ID 198901,realtor,https://www.cian.ru/sale/flat/316594777/,Москва,sale,flat,9,9,1,33.0,-1,0,9000000,Чертаново Центральное,Чертановская ,42К1,Пражская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/315412879/,Москва,sale,flat,12,31,1,37.0,-1,0,14999000,Нижегородский,Газгольдерная ,10,Нижегородская,Profit
ID 113236118,homeowner,https://www.cian.ru/sale/flat/312682007/,Москва,sale,flat,3,13,1,36.0,-1,0,15250000,Ясенево,Новоясеневский проспект,3В,Тёплый Стан,Комплекс апартаментов LES
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/314539287/,Москва,sale,flat,1,5,1,34.0,-1,0,9990000,Южное Тушино,Нелидовская ,20К2,Сходненская,
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/316005173/,Москва,sale,flat,2,22,1,37.0,-1,0,14200000,Лосиноостровский, Коминтерна,15,Бабушкинская,Ты и Я
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308097968/,Москва,sale,flat,12,14,1,35.0,-1,0,12300000,Соколиная гора,Кирпичная ,8,Семёновская,
Наталия Шарутина,realtor,https://www.cian.ru/sale/flat/316743428/,Москва,sale,flat,15,23,1,43.2,-1,0,17200000,Хорошево-Мневники,набережная Новикова-Прибоя,6Б,Народное Ополчение,
Агентство недвижимости Елены Кузнецовой,real_estate_agent,https://www.cian.ru/sale/flat/316566118/,Москва,sale,flat,13,30,1,48.0,-1,0,25000000,Южнопортовый,Волгоградский проспект,32/3к6,Угрешская,Метрополия
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/314215966/,Москва,sale,flat,22,25,1,32.0,-1,0,17500000,Бутырский, Добролюбова,8к3,Бутырская,Руставели 14
Веста,real_estate_agent,https://www.cian.ru/sale/flat/316843494/,Москва,sale,flat,7,10,1,46.0,-1,0,15500000,Бескудниковский,Бескудниковский бульвар,50/1,Яхромская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/312464856/,Москва,sale,flat,3,6,1,60.0,-1,0,26000000,Щукино, Берзарина,12,Октябрьское поле,BERZARINA 12
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/314904218/,Москва,sale,flat,8,9,1,66.3,-1,0,34000000,Басманный,Нижняя Красносельская ,35С49,Бауманская,Лофтек
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/313860847/,Москва,sale,flat,5,12,1,41.3,-1,0,9700000,Капотня,1-й кв-л,1,Люблино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306277521/,Москва,sale,flat,8,13,1,41.5,-1,0,10400000,, Летчика Ульянина,3А,Пыхтино,Солнцево парк
Стоун Бридж эстейт,real_estate_agent,https://www.cian.ru/sale/flat/315952255/,Москва,sale,flat,15,29,1,47.0,-1,0,31700000,Даниловский, Виктора Маслова,2,Автозаводская,RiverSky
Самолет Плюс,real_estate_agent,https://www.cian.ru/sale/flat/316843116/,Москва,sale,flat,2,15,1,34.1,-1,0,17990000,Тверской,Селезневская ,30,Достоевская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306511954/,Москва,sale,flat,6,12,1,52.0,-1,0,17000000,, Бачуринская,17,Ольховая,
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/315364610/,Москва,sale,flat,9,25,1,37.9,-1,0,19000000,Лефортово, Крузенштерна,9,Авиамоторная,Символ
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/316941793/,Москва,sale,flat,6,8,1,30.5,-1,0,17000000,Раменки,Мосфильмовская ,39К3,Ломоносовский проспект,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/312989612/,Москва,sale,flat,4,29,1,57.9,-1,0,37800000,Филевский парк,Береговой проезд,3,Фили,Береговой
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307629671/,Москва,sale,flat,5,14,1,43.8,-1,0,11300000,,проспект Куприна,38к1,Потапово,Эко Бунино
ID 75112578,realtor,https://www.cian.ru/sale/flat/315594271/,Москва,sale,flat,9,9,1,34.6,-1,0,10500000,Южное Медведково,Ясный проезд,11,Отрадное,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307821249/,Москва,sale,flat,3,20,1,43.1,-1,0,21500000,Даниловский,Автозаводская ,26,Тульская,FORST
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316680707/,Москва,sale,flat,12,34,1,63.0,-1,0,55000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Алена Соловьева,realtor,https://www.cian.ru/sale/flat/316688169/,Москва,sale,flat,12,12,1,35.2,-1,0,10500000,Зюзино,Болотниковская ,38К6,Нахимовский проспект,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/313796208/,Москва,sale,flat,1,9,1,32.5,-1,0,7800000,Ивановское, Молостовых,4К1,Новогиреево,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/315482591/,Москва,sale,flat,2,14,1,36.8,-1,0,8200000,Крюково,Зеленоград,к1557,Зеленоград — Крюково,
Светлана Биличенко,realtor,https://www.cian.ru/sale/flat/314430900/,Москва,sale,flat,11,12,1,35.0,-1,0,8200000,Вешняки,Вешняковская ,11К1,Новогиреево,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316833682/,Москва,sale,flat,12,24,1,38.3,-1,0,10400000,Бирюлево Восточное,Ягодная ,6,Бирюлёво,Загорье
Moscow Estate Group,real_estate_agent,https://www.cian.ru/sale/flat/316313006/,Москва,sale,flat,5,34,1,31.8,-1,0,21000000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
Юрий Зайцев,realtor,https://www.cian.ru/sale/flat/316052346/,Москва,sale,flat,6,9,1,33.0,-1,0,10500000,Ивановское, Молостовых,12,Новогиреево,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/315058475/,Москва,sale,flat,2,18,1,33.1,-1,0,10900000,Солнцево,Производственная ,17,Новопеределкино,Лучи
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/314824898/,Москва,sale,flat,11,16,1,41.0,-1,0,16900000,Аэропорт,1-я Аэропортовская ,6,Аэропорт,
ID 820285,homeowner,https://www.cian.ru/sale/flat/315306012/,Москва,sale,flat,7,16,1,37.0,-1,0,11000000,Марьино,Новочеркасский бульвар,21,Марьино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/314793342/,Москва,sale,flat,3,9,1,32.6,-1,0,8800000,Ясенево,проезд Карамзина,1К3,Новоясеневская,
